venueID,venueName,barangayAddress,cityAddress,maxCapacity,intimate,business,fun,casual,venueDesc,availabilityDays,amAvail,nnAvail,pmAvail,eventPlanner,equipRentals,decoServices,onsiteStaff,techSupport,pwdFriendly,priceRangeID,contactEmail,contactNum,managerID,facebookLink,instagramLink,websiteLink,walkInBook,onlineBook,phoneBook,payCash,payBank,payElectronic,latitude,longitude,publicTranspo,routes,landmarks,imgs
1,Sans Hotel at Luxebridge Suites Davao,"Bugac, Don Julian Rodriguez Sr. Ave","Talomo, Davao City",100,1,1,0,0,"Conveniently located along a main road, this casual hotel is just minutes from the University of Mindanao, Crocodile Park & Zoo, and Santa Ana Pier. Rooms feature colorful accents, air conditioning, and TVs, with options for groups of up to 4. Amenities include breakfast, Wi-Fi, and secured parking.",Everyday,0,1,0,1,0,1,1,1,No,4,NULL,282498745,1,NULL,NULL,https://www.reddoorz.com/en-ph/hotel/philippines/davao-city/davao/the-luxebridge-suites,1,1,1,1,1,1,7.077366306,125.5834072,"Bus, Jeepney, Tricycle",MA-A,Midland Village,https://reddoorz-plus-the-luxebridge-suites-maa-davao.davao-hotels.com/data/Imgs/1080x700w/11824/1182425/1182425185/img-reddoorz-plus-the-luxebridge-suites-maa-davao-1.JPEG
2,Acacia Hotel,JP Laurel Avenue,"Lanang, Davao City",300,1,1,0,0,"Located on J.P. Laurel Avenue, Acacia Hotel Davao offers stylish rooms and suites ideal for both business and leisure stays. Guests can enjoy amenities such as a fitness center, outdoor pool, and dining options like Waling-Waling Café. Its central location provides easy access to attractions like SM Lanang Premier and the Davao Museum.",Everyday,1,1,1,1,1,1,1,1,No,5,enquiry@acaciahotelsdavao.com,9822988088,2,NULL,NULL,https://acaciahotelsdavao.com/,1,1,1,1,1,0,7.099655202,125.62813,Jeepney,SASA,SM Lanang,https://cf.bstatic.com/xdata/images/hotel/max1024x768/234769275.jpg?k=3b59f4dd9379f0261fcfaf98e205e46ff6040ea7a234bec509bb4e7576ecd3b5&o=&hp=1
3,Casa de Negro Function Hall,Crossing Bayabas,"Toril, Davao City",100,1,1,0,1,"Located on Everlasting Street in Saypon, Toril, Casa De Negro is a versatile function hall and restaurant offering both catering services and venue-only packages. Operating daily from 4 PM to 9 PM, it is an ideal choice for various events, including weddings, birthdays, and corporate gatherings. The venue provides a vibrant ambiance, making it a popular spot for celebrations in the area.",Everyday,0,1,1,0,1,1,1,0,No,4,NULL,9397680549,3,https://www.facebook.com/p/Casa-De-Negro-100075963516179/,NULL,NULL,1,1,1,1,1,0,7.020936656,125.4945095,Jeepney,TORIL,Toril Park,https://scontent.fmnl17-2.fna.fbcdn.net/v/t39.30808-6/481972495_658169566725155_1317838140220025424_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeE-OdKP8iYwoKKw4ykP5nDt_v54VAn9GV7-_nhUCf0ZXniuU7hCQ5c1NUtW-WambqRPdcOr09x013_1fReH3DpX&_nc_ohc=WN9DiHdhg-cQ7kNvwEO-rbf&_nc_oc=Adlj87lf5JJFkvMzpOEKsgxg7xvrdbRm8FmU5hEeXoOR16Sou5G1Wj_k5C9jPJQ9F_Q&_nc_zt=23&_nc_ht=scontent.fmnl17-2.fna&_nc_gid=RYE0yDheoS6TppyFm20Gyg&oh=00_AfFO1Gj7Fwxh0C5lnZ4w0nN8Xnwz-OAXmxkAGFHsz_fq9w&oe=681A0840
4,The Bloom Cafe & Start-up Space,"Ecoland Subdivision Basketball Court, Corner Walnut Street &, Ecoland Dr","Talomo, Davao City",30,0,1,0,1,"Nestled in the heart of Ecoland, Davao City, The Bloom Coffee & Start-Up Space is more than just a café—it's a dynamic hub designed for growth, collaboration, and inspiration. Located at the corner of Walnut Street and Ecoland Drive, directly across from the Indonesian Consulate and near Verdon Parc, this cozy yet expansive venue offers both indoor and outdoor seating, making it ideal for everything from solo work sessions to group meetups.",Everyday,1,1,1,0,1,0,1,0,No,1,NULL,9087719203,4,https://web.facebook.com/thebloomcafe,NULL,https://thebloomcoffee.com.ph/contact-us/,0,1,1,1,1,0,7.050230649,125.5964083,"Jeepney, Tricycle","MINTAL, ECOLAND",SM City Ecoland,https://scontent.fdvo3-1.fna.fbcdn.net/v/t1.6435-9/83490683_111498830396760_3569334989407387648_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeH_qWpjiCeKcgKerhGBDLAiEogbLPXFD9QSiBss9cUP1E7qAm_U8dkC--Y0GIi7fXBlJiTY3XkZKspgvq9ibv3N&_nc_ohc=c0-YbjuO2x8Q7kNvwHpHIYB&_nc_oc=AdlLxB_kPHfGN3gYKxn1dUFJeHBI-2qR8S1KqcDs8o19Y1DVGHdzGVptTEyS37nhHpw&_nc_zt=23&_nc_ht=scontent.fdvo3-1.fna&_nc_gid=BdrZu9EYvf4k83d4FstJeQ&oh=00_AfHjwxLdfrIeRg9PyOc9CbRi5VaUJvjvPA9LE3cfqi9taQ&oe=683B895D
5,Cacao Culture,"512 Mangga, Juna Subdivision","Matina, Davao City",50,0,1,0,1,"Looking for a venue that's as rich in flavor as it is in character? Cacao Culture offers a variety of spaces designed to make your gatherings unforgettable. Whether you're planning a corporate seminar, a creative workshop, or a special celebration, our venues provide the perfect blend of comfort, style, and functionality.",Everyday,1,1,1,0,1,0,1,1,No,3,NULL,9913666575,5,https://www.facebook.com/cacaocultureph/,NULL,cacaoculture.ph,1,1,1,1,1,0,7.059045941,125.5954978,"Jeepney, Tricycle","MATINA, ULAS, PUAN, TORIL, MINTAL, MAA","Ateneo de Davao University - Matina Campus, World Palace",https://live.staticflickr.com/65535/53172629657_025078c9dd.jpg
6,JMC Events,"Paramount Garden, Riverfront Corporate City, Diversion Road,","Ma-a, Davao City",2000,1,1,1,0,"JMC Events offers versatile function spaces tailored for various occasions. Whether it's a corporate seminar, a milestone celebration, or a community gathering, our venues are designed to accommodate your needs.",Everyday,0,1,1,1,1,1,1,1,Yes,4,jmcnbcevents@gmail.com,9072038256,6,https://www.facebook.com/jmceventsplacedavao/,NULL,NULL,1,1,1,1,1,0,7.102585602,125.5931012,"Bus, Tricycle","DAVAO - DIVERSION ROAD, MAA",Crocodile Park,https://scontent.fmnl17-3.fna.fbcdn.net/v/t39.30808-6/484906673_631808763149154_5690293943729302569_n.jpg?stp=cp6_dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_eui2=AeHAps3_Jutgrgb7qoHNVJjBotkfNSTYnYKi2R81JNidggPWwIhiCTFVlo3qmwWJMSWI5Z81ecov_nHv_btXgqOj&_nc_ohc=tkF6vtdzfOkQ7kNvwH00uYb&_nc_oc=AdnkYEXUcXr8fI52szjp7lr2v-o2KflICXKRkR6KYHoWKlEPDTvW3ZTyWQ_msMtQDsI&_nc_zt=23&_nc_ht=scontent.fmnl17-3.fna&_nc_gid=zOEZvG5RLo6eZLPz-VxJ9w&oh=00_AfHFkUGjU4s5t3SsXqe0syyLAsTQDNrglTJzNNiw5_q6tA&oe=6819FCA0
7,The View Davao,Magtuod,"Talomo, Davao City",900,1,1,1,1,"The View Davao is a premier garden venue perched in Barangay Magtuod, Ma-a, Davao City, offering breathtaking panoramic views of the city and the Gulf of Davao. This exclusive venue is renowned for its picturesque setting, making it a sought-after location for garden weddings, receptions, and other special occasions.",Everyday,1,1,1,1,1,1,1,0,Yes,5,NULL,NULL,7,https://www.facebook.com/theviewdavao/,https://www.instagram.com/theviewdavao/,NULL,0,1,1,1,1,0,7.125392337,125.5632888,Tricycle,DIVERSION ROAD,Crocodile Park,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjNZAEZ20PT4JLqCB1Yplano_Xr18yjkBKHiLZLI7kbLFcDZctatr19tQqQ9A23ld5Mqri5iS7Hgcj-W_ChOkQurpgbpbeWIb5I0YbdnCp8xLIf-Dv7mNZex_v9_EyJDWhdtITG2gQopbA/s640/The+View+Davao.jpg
8,Davao Convention and Trade Center,"Florentino Torres Street,","Bajada, Davao City",2000,1,1,1,0,"Since 1996, the Davao Convention and Trade Center (DAVCON) has been a premier destination for large-scale events in Davao City. Spanning over 7,000 square meters, this versatile venue is renowned for its elegant design, exceptional service, and comprehensive facilities. Whether you're planning a grand wedding, a corporate seminar, or a festive bazaar, DAVCON offers a setting that combines sophistication with functionality.",Monday to Saturday,1,1,0,0,1,1,1,0,Yes,5,davcontc@gmail.com,9209534162,8,https://www.facebook.com/davaoconvention.specialevents/,NULL,davcon.ph,0,1,1,1,1,0,7.081621904,125.6101028,"Jeepney, Tricycle","BUHANGIN, CABANTIAN, ROUTE 13, SASA",Davao City National High School,https://primovenues.com/wp-content/uploads/2017/02/Great-outdoor-view-Davao-Convention-Trade-Center.jpg
9,Rendezvous Event Venue and Buffet,"Bellevue Square Ground Floor Km 7.5 Matina Pangi Along, Davao City Diversion Rd","Talomo, Davao City",70,1,0,0,0,"Looking for a place where your events are more than just gatherings? Rendezvous Event Venue in Davao City offers a dynamic setting for various occasions, from intimate parties to grand celebrations.",Everyday (except Holidays),1,1,1,1,1,1,1,0,Yes,3,evacorcino0906@gmail.com,9201145243,9,https://www.facebook.com/ByECKING/,NULL,NULL,1,0,1,1,1,0,7.07793782,125.5728476,"Jeepney, Tricycle",MATINA PANGI,Bellevue Square,https://scontent.fdvo3-1.fna.fbcdn.net/v/t39.30808-6/490101991_1119965843476704_3566681758850697455_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeG1pjNM7sr4mfeoNhss4SMVzUlCAaeyrWfNSUIBp7KtZ2uI-FD8jDrTPJWerN3kiDzSbt0kPgA9gtM9de98sbDY&_nc_ohc=6YFhtFbcDV8Q7kNvwEZYS8M&_nc_oc=AdnuLXGGUR4cH67oQuzEHLwC939JSx4w3PbJ4oyAuxpaU_VQ1qpK3313c_lN_YkuB9Y&_nc_zt=23&_nc_ht=scontent.fdvo3-1.fna&_nc_gid=DNJjD_h5gAKbryjP43Z4aQ&oh=00_AfHZMDme-pb4OOdI73sqeknZ_0zL6JIdDKNyD_-RpqZNbA&oe=681D444E
10,The Courtyard at Chateau Veronica,Araullo Street,"Poblacion District, Davao City",50,1,0,0,1,"Step into a serene oasis where timeless charm meets modern elegance. The Courtyard at Chateau Veronica is an indoor garden venue nestled in the heart of Davao City, offering a tranquil setting for intimate gatherings and special occasions.",Everyday (except Holidays),1,1,1,1,1,0,1,0,No,5,info.thecourtyarddavao@gmail.com,NULL,10,https://www.facebook.com/thecourtyardatchateauveronica/,https://www.instagram.com/thecourtyarddavao/,NULL,1,1,1,1,1,0,7.076362608,125.6054135,"Jeepney, Tricycle","ROUTE 9, ROUTE 13, ROUTE 14",Davao Doctors Hospital,https://scontent.fdvo3-1.fna.fbcdn.net/v/t1.6435-9/144779204_110436637710821_5629519341462723836_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=127cfc&_nc_eui2=AeFn8WaIdd5dfvIXt-Tsy2A9bMkzXKcUXNdsyTNcpxRc11E4BbOOVJjrM8S0-ZCrlXbCyGMNl0CvZ1DidKVfHP7C&_nc_ohc=ytvhN34rAz4Q7kNvwHyWQts&_nc_oc=AdnNt55ENHnUxXR4a5mf9yXFClDqaqyrxN_WdufPgMUrcOZATcQSB4O0nbiXDOPHUmk&_nc_zt=23&_nc_ht=scontent.fdvo3-1.fna&_nc_gid=8Z3JrS16hWDzPYLBhr9kJA&oh=00_AfGsHtNBcoQsLiesB6uhm5IpGCijb57ieKb-TjSeCwMn3Q&oe=683F0B54
